structur chang
469
167
1649
455
472
421
109
2156
20
193
1041
519
383
27
85
430
14
643
699
213
443
1320
5502
19
1412
553
316
2166
220
874
615
1097
396
39
2354
508
306
728
613
1243
140
2422
351
32
2697
3171
210
1632
209
379
42
204
84
24
1544
36
991
2145
432
63
1084
21
188
343
14
16
17
515
1125
895
1462
0
107
180
87
1933
5
6
3634
21
328
672
254
45
1646
604
238
3997
722
185
1387
489
613
1059
1807
49
551
64
2508
14
1786
215
894
43
111
11
1961
737
71
622
963
71
194
75
816
6
29
178
988
381
3875
34
859
152
554
3
49
600
318
538
2508
401
0
295
122
438
4837
1158
102
16
377
199
23
1680
6
0
12
12
2056
191
555
92
3
20
71
127
311
134
67
0
59
1759
294
200
9
4158
2
13
427
555
174
789
42
670
78
797
583
1150
158
151
139
34
775
208
2238
652
294
311
183
4012
36
96
234
2074
2395
290
44
116
1103
297
180
17
29
98
4577
5
1
293
55
594
119
942
270
669
66
170
1
160
288
3
502
175
140
1401
78
5
1777
104
46
455
125
133
74
664
478
185
235
31
6
399
16
542
90
240
353
279
583
780
109
29
2602
321
570
2065
66
131
1522
2997
357
1038
147
764
559
353
9
180
690
6710
13
3961
609
284
370
486
13695
5
2370
124
544
8
78
57
288
267
115
29
25
680
141
125
5333
343
36585
1002
121
227
182
332
222
525
44
5
258
1422
705
274
25
2468
52
86
1003
887
70
377
34
651
805
408
4
694
99
741
4
454
10
739
10773
152
267
429
438
4
1066
8
199
18
440
706
52
42
0
16
604
522
298
269
76
173
392
412
314
661
50
2072
6
53
83
197
21
21
17
36
6
498
443
64
46
1059
112
1
1150
1469
228
538
348
0
104
66
123
245
116
220
996
162
268
40
194
36
1579
17703
2094
214
546
351
590
500
163
93
570
543
126
52
36
26
226
248
16
891
1
1
32
15
212
501
5072
2904
1347
1
579
123
38
292
0
1798
47
691
174
98
112
310
299
87
1130
2573
1096
498
48
12
416
30
302
153
6
150
349
202
1296
6936
440
13
24
705
223
1662
1780
965
41
328
799
400
136
203
5984
230
124
19
17
197
10
139
301
190
133
50
1519
0
2717
212
890
601
42
411
32
1212
602
213
87
15
18
43
101
50
30
142
102
667
926
282
1030
60
108
467
369
72
78
161
229
336
0
195
941
351
1
67
52
2062
97
72
910
1050
2
329
198
503
400
2236
166
4905
40
64
1
833
971
566
10
360
264
2598
44
328
1484
57
1766
1585
1667
338
222
81
2094
40
442
501
3583
42
46
519
80
220
41
1316
1923
19
271
1786
362
521
198
1
2
2887
2419
1213
133
95
224
305
54
101
153
118
1525
13
53
46
178
3043
351
29
399
130
132
375
9515
58
40
4234
1087
22
1617
1123
986
16
1296
119
40
500
2877
643
66
1230
1447
476
4
488
238
85
44
218
0
162
41
126
436
331
594
253
78
112
10
77
153
1528
12
937
358
196
133
163
529
24
973
991
393
47
307
159
291
1297
2181
64
392
1514
229
484
270
102
1236
255
18
375
3419
226
113
761
56
5060
5
586
538
460
67
66
429
202
93
3305
18
287
1368
861
0
72
21
1574
139
1351
192
1431
1204
1372
196
134
336
25
122
1842
1427
5165
23
4345
1041
9
21
772
154
236
385
384
570
2160
1333
194
62
68
648
201
55
34
149
37
280
175
185
26
41
325
96
118
365
486
1039
90
75
1081
6
85
908
17
290
493
2846
1035
2206
49
754
83
444
873
267
7215
816
15
1436
989
4
0
154
174
157
49
133
5
453
1335
1356
287
34
514
1672
1
224
136
134
240
26
214
0
1418
286
95
118
62
0
653
42
1848
1464
697
61
61
287
82
90
116
39
3127
34
826
4
1060
