improv code
84
14
187
21
26
9
17
102
3
15
198
76
49
5
20
16
3
100
64
25
3
168
660
2
127
67
14
69
19
71
51
134
33
1
295
54
146
77
34
172
7
92
43
0
370
472
2
50
19
46
18
14
16
2
201
8
143
282
66
15
227
1
11
36
3
1
3
4
2
116
86
0
7
25
2
284
1
0
593
0
45
92
45
5
81
145
7
476
182
22
123
37
149
31
278
3
68
12
343
0
133
19
133
3
17
0
249
62
0
23
135
8
2
11
94
0
4
8
51
16
598
5
165
11
33
0
4
83
27
73
51
85
0
17
1
10
294
241
8
0
138
46
1
167
3
0
0
0
252
25
83
0
0
0
2
14
79
19
15
0
0
100
17
5
0
481
0
0
71
129
13
6
0
54
4
172
97
231
17
12
13
14
134
21
217
22
1
7
38
601
1
13
15
345
304
43
8
16
86
4
11
2
5
17
394
1
0
1
12
38
3
30
31
24
1
46
0
3
39
0
28
0
6
182
10
2
32
21
1
45
1
28
11
31
64
18
24
4
0
24
1
91
0
0
47
33
96
85
15
0
257
39
76
300
2
0
190
417
33
39
11
136
36
36
7
34
130
1560
0
656
110
47
49
95
1892
1
116
8
16
2
17
12
25
10
2
4
24
23
14
17
761
49
0
99
12
48
17
61
17
84
5
0
35
59
75
39
4
305
4
3
107
144
5
28
3
136
188
123
0
56
6
173
1
0
0
131
1445
26
36
60
83
1
129
0
39
4
65
81
6
3
0
3
19
33
26
49
0
3
61
84
63
41
3
522
0
5
0
31
4
0
0
4
0
12
53
3
10
116
56
0
40
85
48
91
86
0
31
5
35
19
9
27
19
23
21
10
20
6
187
2719
337
17
130
54
76
86
20
3
106
77
2
1
4
2
15
35
0
99
0
0
6
0
12
94
682
419
121
0
15
17
8
60
0
76
2
8
27
0
48
42
13
10
105
369
124
62
3
0
77
1
65
0
1
13
40
22
51
6
59
1
4
81
41
250
430
71
5
52
98
11
2
26
931
8
19
1
1
7
1
24
35
16
14
16
153
0
398
6
81
42
4
34
0
128
48
10
10
2
1
7
10
3
5
19
7
85
159
48
91
0
8
38
42
13
7
6
30
37
0
0
47
32
0
1
9
37
11
17
77
221
0
52
22
46
16
247
6
770
12
3
0
37
134
69
4
38
31
303
4
16
233
4
217
90
111
9
4
13
290
3
30
82
447
7
0
36
0
28
1
158
6
0
14
170
0
54
10
0
0
473
205
165
0
11
28
49
5
2
25
8
297
2
4
1
1
505
6
0
43
10
4
1
1888
3
5
150
93
0
72
66
61
1
10
26
10
9
446
54
2
200
152
36
1
64
36
15
0
2
0
19
10
14
106
57
71
33
2
1
2
14
12
337
0
197
86
0
12
13
39
8
228
139
35
3
29
29
13
193
90
0
71
221
24
87
38
8
178
27
0
99
562
24
0
113
1
785
0
33
107
35
6
0
81
27
25
552
2
9
218
92
0
0
3
217
20
111
23
201
14
195
6
14
36
0
14
327
341
611
0
856
68
0
0
101
20
1
69
82
45
137
219
32
14
5
135
13
13
8
7
8
35
7
27
8
7
59
18
19
5
28
194
8
15
146
1
1
131
1
4
45
393
261
242
5
157
9
6
99
49
20
191
0
126
62
0
0
16
8
5
5
6
0
68
213
186
23
1
45
281
1
8
2
26
18
0
39
0
131
48
10
3
0
0
70
1
61
216
106
0
1
30
2
17
12
5
529
0
70
0
126
