code refactor
556
195
1821
558
584
493
133
2609
26
223
1238
623
485
30
97
588
18
733
810
247
561
1564
6528
21
1628
658
387
2900
241
961
742
1214
506
52
2735
604
317
818
778
1441
150
3416
442
32
3299
3801
226
1669
247
443
42
243
100
34
1833
44
1161
2461
529
78
1326
22
233
441
17
23
19
537
1127
1004
1712
0
120
206
111
2340
6
6
4226
26
441
786
311
50
2219
748
343
4776
902
207
1745
642
757
1264
2117
52
615
76
2861
14
2054
250
1076
47
129
13
2579
952
78
766
1194
80
196
88
922
6
33
186
1237
453
4457
39
1024
208
575
3
53
765
339
599
3151
510
0
328
150
447
5220
1370
110
16
454
245
23
2000
6
0
12
12
2338
213
658
113
4
20
77
175
385
165
78
0
81
2078
336
228
9
4891
2
16
526
676
185
999
56
786
82
969
667
1263
200
194
152
34
913
256
2884
747
381
321
215
4913
39
114
257
2438
2753
337
52
145
1318
436
208
19
34
115
5744
6
1
295
57
827
155
1100
300
724
79
193
1
204
377
3
663
175
150
1764
79
6
2137
122
47
525
172
161
88
819
543
217
275
36
6
526
18
710
94
294
405
340
680
952
125
29
2883
360
726
2570
90
142
1812
3509
450
1212
169
973
789
400
9
234
885
8365
13
4673
736
349
438
598
16754
6
3324
133
580
10
97
69
353
335
130
33
25
910
178
155
6051
398
38397
1186
143
274
206
416
250
627
51
5
275
1950
904
311
29
2930
52
88
1166
1113
90
435
37
791
925
469
4
842
105
869
5
499
10
880
13850
167
314
454
540
5
1317
8
252
22
584
844
66
50
0
19
654
722
401
314
94
203
436
522
398
817
57
2689
6
55
99
203
25
21
17
41
6
512
510
71
54
1200
124
1
1190
1499
255
639
434
0
123
67
130
276
142
276
1413
205
351
50
258
36
2011
20107
2580
237
676
388
691
602
212
96
665
697
170
59
38
28
254
283
16
1098
1
1
38
15
228
604
6181
3593
1465
1
594
128
45
356
0
2374
51
799
207
98
126
367
393
98
1426
2950
1362
608
50
12
511
31
351
161
6
203
438
280
1814
6938
495
14
27
857
263
2077
2230
1065
46
379
1000
411
178
238
7460
274
147
21
19
204
11
177
353
206
162
58
1982
0
3336
248
1006
703
44
470
47
1335
763
235
100
15
20
50
120
53
35
171
125
769
1076
335
1256
71
115
552
425
86
88
179
275
375
0
202
1286
409
1
96
74
2441
133
89
1193
1286
2
414
245
578
442
2925
200
6496
48
91
1
1027
1093
649
12
390
307
3165
51
352
1734
64
2192
1686
1886
383
252
94
2424
50
498
602
4042
49
48
615
89
256
54
1841
1965
19
285
2161
363
596
257
1
3
3446
2834
1407
172
99
271
354
60
123
178
135
1831
14
63
46
178
3517
376
29
498
157
141
376
11599
71
44
5121
1291
22
2042
1353
1252
23
1469
145
50
572
3261
720
71
1355
1682
612
5
552
311
103
60
226
0
187
52
131
544
420
699
288
94
132
12
83
176
1851
13
1116
444
241
153
189
612
32
1188
1134
519
59
367
189
312
1654
2282
66
455
1891
270
577
349
108
1441
281
27
452
4013
261
156
992
57
5929
5
620
635
583
79
84
482
243
105
4124
20
304
1633
1135
0
74
24
1915
155
1714
272
1642
1244
1664
228
163
413
25
137
2331
1776
5807
23
5085
1224
9
29
862
169
296
460
461
699
2660
1527
231
77
70
748
262
62
42
175
45
338
194
214
27
47
388
121
144
377
556
1248
102
89
1294
7
111
1180
18
310
665
3479
1178
2449
66
950
100
623
972
341
7250
1007
15
1577
1214
6
0
170
183
191
55
143
6
511
1647
1585
381
36
600
1982
1
265
183
170
269
27
280
0
1743
379
99
171
62
0
773
47
2324
1869
830
87
76
342
86
110
130
48
3672
48
900
6
1189
