structur
458
158
1624
357
425
418
104
1819
19
178
1018
480
377
26
79
422
14
559
599
198
362
1196
4774
17
1386
544
250
2134
219
736
550
884
379
34
2212
500
299
620
578
1124
136
2409
325
22
2573
3005
126
985
197
349
30
178
82
24
1468
36
870
1945
422
63
1023
15
175
333
14
16
14
284
1049
774
1412
0
103
160
80
1856
5
3
3632
18
328
636
241
42
1499
602
238
3758
722
151
1291
458
583
1012
1522
49
505
62
2136
7
1417
163
792
43
93
9
1958
722
71
544
913
66
149
71
806
6
23
163
976
372
3587
34
856
151
419
3
39
573
241
481
2122
393
0
263
110
239
3996
1078
96
11
376
196
13
1493
5
0
12
10
1718
188
492
76
3
20
66
126
307
129
67
0
59
1452
249
172
9
3555
1
12
398
543
174
712
41
656
52
785
520
960
148
136
134
32
709
190
2013
601
273
219
164
3795
30
85
231
1992
2281
256
40
115
1081
294
147
17
28
98
4306
5
1
289
51
588
105
760
235
653
62
150
1
132
284
3
469
117
99
1312
78
5
1629
101
27
454
122
127
70
639
429
168
229
31
5
389
16
541
85
217
351
240
526
708
98
29
2361
257
562
1896
66
109
1377
2663
348
1007
128
749
553
328
9
179
681
6665
7
3753
577
261
343
459
13421
5
2361
123
530
8
78
57
240
266
90
25
25
627
124
121
4573
307
20951
969
107
217
179
320
207
509
36
5
255
1364
635
238
25
2251
30
70
930
846
70
365
30
634
791
388
3
647
68
654
4
370
9
701
9927
141
257
343
411
4
1020
5
195
18
429
652
48
38
0
14
547
495
278
245
64
140
364
399
312
584
37
2071
6
40
83
194
20
19
17
31
6
495
386
50
46
845
108
1
1117
1309
206
505
346
0
92
63
91
190
98
180
949
157
267
40
185
34
1443
14955
1989
198
540
302
580
474
163
91
540
540
125
48
29
20
174
236
14
878
1
1
32
10
166
469
4816
2865
1153
1
329
100
36
280
0
1781
45
589
165
98
107
300
273
85
1122
2408
962
475
47
6
401
26
261
153
6
150
323
192
1222
5465
437
12
24
704
223
1607
1770
845
41
309
784
309
136
199
5746
194
122
13
12
196
10
135
277
153
121
45
1441
0
2533
177
720
538
38
348
31
1030
569
192
84
15
14
37
89
48
30
125
97
594
861
256
917
58
97
417
308
70
60
145
198
336
0
135
902
343
1
66
52
1789
96
72
904
992
2
327
189
421
350
2111
157
4868
39
64
1
778
816
469
10
305
234
2328
37
241
1432
54
1748
1016
1485
320
168
74
2003
38
374
467
2995
37
38
481
79
202
39
1314
1025
17
251
1544
361
470
182
1
2
2745
2141
1085
126
90
207
271
52
81
153
100
1425
12
44
45
155
2653
267
16
355
110
109
230
9022
52
40
3495
1029
20
1513
947
944
16
1031
114
40
500
2516
643
44
1046
1257
449
4
420
233
85
44
218
0
156
41
96
434
327
514
241
66
112
10
63
122
1491
12
838
358
196
106
155
478
24
953
981
362
42
292
151
236
1215
1354
49
360
1412
217
424
258
77
1159
243
18
367
3195
176
108
752
56
4844
5
570
516
422
63
58
401
187
83
3212
18
192
1293
849
0
68
20
1495
122
1228
192
1207
1013
1254
171
134
327
25
97
1767
1414
4531
22
3986
976
9
19
729
119
190
366
374
556
1939
1111
192
61
67
612
193
54
33
130
37
258
174
184
25
40
285
92
118
352
372
1020
75
72
1069
6
82
876
16
274
491
2642
927
1970
48
742
80
427
803
257
7210
807
14
1336
956
4
0
137
107
117
49
119
5
402
1246
1280
278
31
514
1666
1
219
123
129
221
23
211
0
1285
286
92
115
33
0
597
31
1794
1420
690
61
57
273
78
85
90
34
2768
31
772
4
937
