refactor refactor
374
153
1444
349
399
418
91
1566
16
119
822
426
344
23
67
384
11
543
539
173
359
1024
4107
13
1238
477
249
2065
200
642
476
773
351
32
1909
463
277
533
523
983
123
2355
281
22
2203
2621
124
948
191
290
30
165
51
22
1365
28
715
1544
356
48
796
14
164
299
11
15
13
280
663
619
1298
0
96
135
74
1608
4
3
3036
18
285
574
216
37
1419
458
222
3319
542
129
1172
425
501
991
1260
49
433
50
1622
7
1282
146
669
41
76
9
1751
682
71
521
854
60
147
60
722
6
19
155
925
356
3141
29
630
148
392
3
25
490
226
422
2063
319
0
248
109
230
3748
866
88
11
305
148
13
1379
5
0
12
10
1341
167
409
74
3
20
61
112
233
111
56
0
59
1358
235
154
9
2997
1
12
325
427
122
707
41
588
48
597
452
893
137
126
121
32
582
163
1793
511
273
216
138
3196
29
72
216
1817
2021
213
36
100
997
289
136
15
23
81
3984
4
1
286
49
536
103
730
197
629
61
125
0
132
244
3
432
116
93
1130
77
4
1549
82
27
397
121
99
57
428
341
112
144
27
5
366
16
451
43
139
299
209
432
635
78
20
2097
218
496
1560
65
77
1240
2262
309
964
117
656
550
276
7
145
587
5030
7
3164
465
231
288
384
11530
4
2287
116
514
6
61
45
215
173
88
21
25
612
110
104
3872
258
20950
872
100
177
162
261
189
432
27
0
243
1303
568
196
22
1961
30
69
759
716
60
349
27
500
597
326
3
591
62
531
3
364
9
586
8696
136
219
320
332
3
895
5
163
14
373
572
46
35
0
11
514
488
252
197
64
139
263
319
269
503
34
1959
6
40
67
186
16
19
17
27
6
492
318
40
32
729
108
1
1060
1283
165
453
260
0
89
62
84
172
87
173
933
130
246
30
172
34
1271
14458
1696
176
410
267
566
383
148
88
441
487
123
48
27
12
155
188
14
851
1
1
20
10
160
393
4222
2405
932
1
314
80
27
221
0
1634
43
586
148
98
106
258
268
76
1034
2085
871
426
47
6
324
25
212
144
4
147
300
190
1212
5464
379
11
24
621
183
1371
1340
783
36
299
694
243
109
170
4969
179
92
12
11
119
9
128
238
87
91
37
1299
0
2250
171
640
500
36
338
31
897
515
154
75
15
13
30
75
48
25
112
97
505
699
213
826
55
90
282
266
64
54
139
168
270
0
110
872
298
1
65
43
1769
85
55
827
788
2
278
176
349
303
2020
151
3666
33
64
1
618
697
424
8
276
209
2013
33
219
1202
50
1512
902
1273
298
167
61
1732
35
344
382
2564
30
38
445
62
148
39
1153
1019
17
233
1504
262
417
176
0
2
2289
1894
825
126
81
194
207
47
78
117
92
1157
11
40
45
137
2167
267
16
312
88
86
229
7185
49
36
3442
908
20
1415
895
897
15
923
87
30
415
2068
642
42
781
1049
394
3
356
197
70
44
215
0
134
35
88
328
292
448
196
51
111
8
57
112
1192
12
664
272
193
94
142
403
24
917
847
350
39
266
134
225
1027
1205
49
284
1198
194
348
220
72
945
226
18
331
2646
155
108
638
51
3760
5
537
350
398
57
58
309
172
71
2977
15
183
1150
768
0
68
17
1277
106
1079
185
976
888
1056
165
120
286
25
83
1580
1168
3998
17
3316
897
9
19
634
107
190
301
297
526
1789
938
160
47
21
517
160
51
25
126
29
236
174
100
24
34
226
76
112
347
338
831
67
63
971
5
74
747
15
274
458
2331
798
1727
48
584
72
422
703
208
7200
587
14
1206
692
4
0
123
99
113
44
114
5
339
974
1105
254
30
469
1399
1
211
121
105
202
23
174
0
1151
237
87
112
33
0
530
30
1287
1207
588
61
56
234
74
68
72
29
2294
31
628
4
811
