improv
0
9
15
15
0
9
4
33
0
0
3
26
16
2
8
0
0
84
4
0
0
5
10
0
29
0
13
6
0
12
15
25
13
0
1
17
135
10
0
31
0
47
1
0
0
104
0
13
14
0
18
1
0
0
107
0
5
73
0
0
0
0
0
2
0
0
2
0
0
7
67
0
0
0
0
42
0
0
2
0
2
30
20
0
1
1
0
66
2
0
27
9
79
10
16
3
29
0
0
0
0
2
10
1
0
0
46
47
0
0
76
2
0
0
10
0
0
0
0
0
153
0
0
8
13
0
0
10
12
29
13
11
0
2
0
1
119
35
0
0
68
0
1
68
3
0
0
0
71
4
0
0
0
0
0
0
5
2
4
0
0
10
3
5
0
7
0
0
0
14
2
1
0
1
0
0
29
164
6
2
0
14
30
2
11
1
1
4
12
52
0
0
0
173
50
0
4
1
6
0
0
0
0
0
90
0
0
0
10
2
1
0
13
0
0
24
0
3
1
0
0
0
0
0
9
1
20
4
1
6
0
0
3
31
0
1
0
0
0
8
1
1
0
0
2
2
2
12
1
0
3
0
13
47
1
0
76
45
1
2
0
43
33
0
7
0
36
12
0
68
0
19
0
20
3
0
42
1
1
0
0
0
0
4
0
0
24
8
0
0
106
0
0
2
10
8
0
2
0
7
0
0
23
0
8
2
1
98
4
2
7
14
0
12
0
5
75
66
0
0
0
50
0
0
0
31
258
21
0
37
4
0
6
0
7
0
10
1
4
3
0
0
5
31
3
4
0
2
19
4
20
5
0
507
0
5
0
25
0
0
0
0
0
9
9
2
2
15
56
0
0
67
21
39
0
0
28
4
28
1
0
20
14
0
0
0
7
6
75
2298
48
0
0
19
62
1
5
0
11
31
0
1
2
0
0
0
0
81
0
0
0
0
6
19
478
72
36
0
0
13
1
2
0
0
0
6
10
0
47
8
8
2
18
110
37
13
3
0
0
0
16
0
1
10
17
22
46
5
19
0
4
15
1
14
0
9
0
42
12
0
0
1
187
0
2
0
0
0
0
21
2
0
0
8
37
0
148
0
1
4
2
24
0
6
13
3
1
2
0
0
0
3
0
9
7
0
14
5
0
0
1
3
0
7
4
0
20
0
0
0
17
10
0
0
0
18
0
0
0
20
0
4
9
0
6
162
2
3
12
3
0
9
16
29
2
9
6
0
0
7
3
0
4
3
54
0
3
0
41
0
1
4
16
0
0
0
0
4
1
1
0
0
2
160
0
3
6
0
0
17
14
0
0
11
15
0
0
0
0
0
31
1
0
1
1
53
6
0
0
4
1
0
80
0
1
110
14
0
6
20
15
0
0
0
0
9
68
54
0
75
30
2
0
0
0
0
0
0
0
4
4
9
0
28
5
5
2
0
0
8
2
40
0
23
0
0
0
0
0
8
194
5
23
0
3
12
2
5
50
0
8
15
1
12
0
3
26
10
0
63
76
4
0
0
0
39
0
0
10
12
0
0
37
12
13
370
0
0
84
17
0
0
0
2
4
4
16
0
8
15
0
0
3
0
0
140
95
105
0
242
0
0
0
14
8
1
6
5
15
27
49
0
0
3
44
5
10
0
3
0
13
7
9
7
1
0
2
13
0
4
17
0
6
48
0
0
2
0
4
18
97
135
19
5
0
1
1
0
0
15
0
0
3
0
0
0
2
0
1
0
1
0
12
5
11
2
0
0
17
1
0
0
2
0
0
2
0
12
0
6
1
0
0
4
0
0
9
22
0
0
5
2
0
0
0
55
0
18
0
0
