refactor
559
218
1821
655
665
565
144
2993
29
238
1240
677
554
30
97
730
19
807
861
256
673
1643
6904
21
1746
696
457
3511
243
989
833
1222
596
64
2822
663
317
841
909
1498
153
4365
491
32
3531
4063
240
1669
280
461
42
269
100
42
1995
44
1193
2568
560
78
1341
22
267
505
17
29
20
555
1127
1004
1943
0
126
207
133
2505
6
6
4227
31
511
838
343
50
2712
748
441
5145
902
207
2007
767
831
1448
2157
55
640
76
2871
14
2189
268
1135
49
130
15
2994
1152
85
887
1366
83
196
90
938
6
33
186
1435
509
4594
39
1024
261
576
3
53
857
345
616
3756
530
0
346
177
447
5428
1376
110
16
461
245
23
2221
6
0
12
12
2439
214
678
134
5
20
81
206
385
179
78
0
103
2307
364
256
9
5150
2
19
549
682
185
1204
70
849
82
969
683
1309
231
227
152
34
947
285
3315
821
468
328
221
5265
41
119
265
2630
2857
341
56
159
1453
571
225
19
34
115
6607
6
1
296
57
1024
189
1228
312
755
91
194
1
248
426
3
796
175
154
1945
79
6
2485
123
48
556
218
161
94
974
544
232
291
37
6
637
20
788
98
348
412
370
683
1051
127
29
2910
360
807
2822
113
153
1988
3649
511
1349
180
1089
1016
411
9
254
986
8472
13
4797
753
386
457
635
17924
6
4204
135
601
10
99
69
393
397
143
33
25
1125
201
168
6114
404
40209
1273
163
281
213
441
261
652
52
5
280
2419
1036
311
30
3185
52
89
1229
1209
105
477
37
800
932
473
4
934
105
874
5
544
10
921
15326
177
325
456
563
5
1445
8
273
22
673
902
78
58
0
19
690
920
481
314
112
232
438
552
439
937
61
3291
6
57
115
203
25
21
17
42
6
523
533
77
54
1240
136
1
1190
1511
255
688
434
0
139
67
130
289
159
322
1825
225
413
50
309
36
2331
22090
2777
243
676
390
778
619
246
96
665
805
212
66
38
28
267
283
16
1287
1
1
38
15
238
632
7086
3915
1498
1
594
129
45
362
0
2874
53
905
223
98
139
390
482
101
1635
3068
1536
668
52
12
529
31
351
169
6
253
504
358
2327
6939
510
14
30
943
263
2256
2250
1103
46
420
1115
411
218
248
8186
310
153
22
20
204
11
212
372
206
177
58
2329
0
3705
278
1042
767
44
519
62
1336
881
250
104
15
21
50
129
56
35
190
148
786
1081
345
1391
82
115
602
439
94
95
191
311
377
0
209
1601
445
1
124
82
2801
158
89
1399
1321
2
451
279
607
474
3529
230
6973
56
118
1
1188
1097
692
12
391
325
3372
54
367
1754
67
2405
1700
2048
419
281
94
2503
57
525
625
4070
49
50
675
98
268
67
2091
2001
19
287
2526
364
620
312
1
4
3544
3058
1436
211
103
305
354
61
143
178
144
1871
14
69
46
178
3539
401
29
554
178
147
376
11875
81
44
5968
1416
22
2401
1537
1472
29
1632
145
50
644
3267
797
74
1355
1795
714
5
552
348
106
76
232
0
197
57
131
546
480
738
295
110
151
12
83
189
1877
14
1121
444
286
161
202
656
40
1369
1143
633
68
401
202
322
1823
2343
68
455
2062
288
595
390
109
1494
290
36
493
4121
276
199
1059
57
6052
5
621
635
683
85
102
491
269
105
4753
20
312
1764
1334
0
76
24
2041
155
1970
345
1652
1278
1776
254
178
457
25
138
2633
1879
5941
23
5211
1339
9
37
865
172
356
472
461
798
3050
1551
236
78
70
757
315
66
42
197
45
374
213
225
27
47
392
130
164
384
602
1280
106
94
1409
7
136
1314
18
330
810
3816
1195
2469
83
989
109
797
972
366
7280
1007
15
1595
1377
8
0
172
184
221
56
148
7
513
1751
1639
454
37
641
2028
1
298
228
182
280
28
309
0
1949
424
99
222
62
0
827
51
2739
2067
879
113
90
372
90
113
132
52
3743
62
922
8
1192
