clean
168
65
1221
29
52
257
51
185
6
38
395
140
96
18
32
52
6
160
228
92
6
402
1412
4
788
146
37
346
76
132
87
255
63
2
642
156
205
146
138
403
14
227
105
0
1228
1526
10
87
94
132
18
61
32
4
535
20
317
662
201
30
462
2
24
96
6
2
4
8
12
229
165
0
20
78
6
875
2
0
1184
0
90
335
84
10
165
303
14
1560
362
44
265
99
228
162
612
11
161
24
818
0
284
36
296
33
34
2
582
109
0
60
340
17
10
24
462
0
8
70
333
142
1447
16
350
36
195
0
8
166
46
153
203
168
0
124
38
19
653
525
42
0
208
94
3
304
3
0
0
0
589
62
190
0
0
0
30
30
155
50
28
0
2
277
53
49
0
1209
0
0
168
278
106
13
0
109
8
392
215
510
38
26
92
14
260
56
487
163
59
94
78
1323
12
26
30
928
1392
98
12
45
166
8
58
4
10
64
854
2
0
38
39
78
5
60
103
490
6
70
0
5
79
0
58
0
12
364
53
3
94
40
1
250
2
62
29
73
178
35
57
20
0
98
11
181
30
0
144
78
196
168
35
4
995
78
233
553
7
8
383
1128
139
322
32
265
39
154
7
68
226
3169
0
2082
236
102
98
170
6579
2
274
51
33
4
36
24
50
16
26
12
24
110
28
42
1826
116
1690
286
22
94
36
124
98
262
10
0
197
158
142
104
7
770
4
4
387
307
10
174
18
299
368
232
0
258
22
296
2
124
8
269
3062
45
142
165
170
2
440
2
71
8
124
217
14
3
0
6
131
49
49
116
4
44
141
164
106
96
10
537
0
13
34
149
8
0
6
8
0
15
125
4
24
243
56
0
855
897
116
197
172
0
36
6
44
62
18
34
24
46
72
20
33
20
299
6331
735
36
260
99
258
171
60
26
219
193
4
1
6
4
38
136
4
411
0
0
14
4
36
183
1500
1219
478
0
30
35
15
118
0
290
34
126
44
0
49
78
42
18
393
851
223
149
41
0
157
20
120
50
1
36
69
22
56
19
251
2
4
247
85
550
860
151
12
132
208
132
4
107
2038
24
57
2
2
16
8
33
122
34
28
24
353
0
766
28
189
182
8
54
0
294
91
63
27
2
2
14
20
15
20
29
27
182
386
107
208
30
43
79
95
31
16
44
53
202
0
0
121
144
0
2
18
56
22
34
320
428
0
143
55
100
112
534
78
1863
16
3
0
95
262
145
6
165
110
891
13
51
624
8
842
183
280
60
11
26
1118
8
93
201
1060
18
12
170
10
62
1
493
40
14
26
292
2
137
38
0
0
982
488
330
26
33
63
102
36
4
67
18
663
3
8
41
37
1007
86
0
88
16
13
2
3946
6
29
470
228
0
268
212
112
2
54
54
20
157
1002
54
4
437
440
84
2
128
82
46
0
4
0
78
18
31
216
124
137
141
2
2
4
23
22
742
10
381
172
98
30
55
220
8
348
663
77
8
117
56
58
397
166
30
166
457
119
164
76
19
464
128
0
157
1438
44
0
323
8
1660
0
458
204
128
12
0
197
68
41
998
4
46
614
236
0
0
8
456
50
228
30
434
314
499
16
74
103
0
28
692
589
1234
0
1736
144
0
0
188
32
1
142
201
79
410
449
87
28
11
310
31
39
16
13
16
113
7
47
11
23
118
36
47
44
56
455
30
32
244
2
11
292
5
144
126
1105
445
725
13
314
17
11
464
98
4805
386
0
596
174
0
0
73
22
9
28
31
2
154
423
651
78
2
92
598
1
16
8
50
98
2
76
0
266
96
14
5
0
0
250
9
278
503
305
0
20
108
6
34
27
10
1041
0
145
0
276
