name
23,56
59,31
132,27
13,6
27,3
58,31
20,42
75,23
9,0
28,11
238,187
49,3
65,26
14,15
45,25
29,9
6,0
32,16
37,6
62,22
9,9
162,54
117,20
7,7
126,24
39,23
24,37
53,14
14,6
48,24
106,20
46,13
34,15
3,19
151,38
70,13
34,13
118,15
99,52
46,14
23,10
92,18
45,25
5,9
55,23
277,55
6,12
36,8
24,29
52,16
4,0
35,17
4,2
6,9
119,16
13,23
37,22
224,52
31,27
8,9
47,21
5,14
13,28
59,31
8,12
3,6
6,14
7,5
48,23
80,24
49,13
0,3
24,8
32,23
11,14
256,34
4,8
0,2
36,12
4,19
29,35
99,22
22,20
12,15
25,26
152,222
12,10
440,10
7,8
20,18
69,9
34,16
49,16
98,18
21,17
11,2
46,19
5,12
104,26
0,7
152,74
17,15
40,45
18,27
8,7
3,3
255,53
72,6
3,9
50,14
94,34
19,22
8,4
23,31
64,31
1,0
4,3
26,11
43,11
18,1
255,29
10,9
46,14
12,20
47,12
1,0
7,10
46,25
17,7
58,22
82,17
86,54
0,12
29,14
9,16
11,9
108,22
77,21
18,4
3,7
61,12
18,19
3,8
81,14
4,17
0,8
1,8
5,5
108,35
19,22
45,15
1,8
1,0
4,10
15,28
27,31
16,37
22,22
36,24
0,7
5,8
105,25
35,30
8,14
2,5
226,70
0,2
4,56
27,12
54,24
12,25
25,19
6,0
48,24
11,20
178,124
69,35
44,3
19,31
19,13
29,33
7,7
192,17
25,16
76,19
54,12
4,10
29,36
36,29
482,42
7,12
17,25
38,11
154,23
180,55
51,24
5,10
21,38
91,16
6,3
27,14
9,8
9,12
20,15
200,20
4,0
1,4
16,2
18,6
52,20
5,2
15,17
60,33
69,16
6,6
28,15
0,11
7,35
38,29
2,15
26,22
1,14
28,11
54,27
27,14
4,0
82,10
18,19
3,12
36,20
4,6
18,6
19,24
18,17
37,32
27,10
19,28
7,3
3,9
48,17
4,14
43,26
10,11
4,4
51,16
10,11
58,29
39,15
29,29
10,8
28,15
25,12
81,25
132,17
13,23
5,9
180,27
237,30
37,25
110,23
31,22
61,7
16,9
43,10
1,5
13,5
81,35
902,149
1,0
87,16
103,12
23,22
27,13
33,20
50,49
4,13
51,10
34,27
27,16
3,0
28,13
4,24
13,24
23,8
11,26
9,10
5,1
21,13
5,6
18,32
244,20
40,44
3,10
78,24
17,45
49,31
18,18
61,48
24,23
56,39
8,25
0,10
18,11
40,6
68,27
24,22
8,22
198,31
5,18
10,0
118,27
101,20
9,13
38,12
18,17
121,38
104,34
63,27
1,8
23,13
18,24
63,10
3,5
24,7
2,5
124,20
717,41
26,32
65,36
25,12
85,42
3,19
109,42
2,7
46,24
5,6
50,61
98,37
7,9
4,14
0,0
3,8
76,30
23,9
7,13
26,33
6,16
15,10
47,15
53,18
29,7
74,37
8,18
26,25
1,6
8,15
5,20
67,38
6,4
1,7
3,6
8,19
3,1
29,9
38,26
9,15
20,22
54,13
15,19
1,11
121,55
97,10
17,28
17,23
27,26
0,7
14,15
13,3
28,31
31,35
14,11
9,3
12,11
27,9
58,11
3,9
23,15
8,19
85,28
181,4
196,63
12,9
111,48
45,14
34,21
20,26
23,19
17,8
42,10
59,31
8,8
13,15
9,20
3,10
32,34
48,30
6,15
43,21
1,7
1,0
8,9
5,12
25,16
40,31
107,17
237,89
39,23
1,2
26,23
24,6
15,11
68,13
0,4
39,8
8,7
25,10
19,11
21,6
24,18
51,27
37,15
16,15
134,45
259,16
113,43
103,16
11,31
0,3
41,28
7,5
21,22
8,2
3,3
18,11
31,15
3,16
25,10
13,12
60,19
4,9
5,1
93,20
21,12
166,34
6,4
103,20
10,17
48,20
86,18
7,4
6,18
26,14
728,53
25,31
29,18
4,12
4,5
23,9
7,5
22,12
39,26
11,13
25,36
8,1
88,29
0,2
262,26
33,8
70,13
78,15
21,18
57,18
0,7
240,109
41,14
35,20
23,27
7,11
5,11
5,12
13,11
31,35
10,4
18,18
10,11
41,18
172,56
41,18
43,31
5,2
27,29
36,16
47,17
11,12
10,14
22,9
21,19
81,33
0,5
5,7
39,19
60,27
1,3
6,7
9,26
53,3
10,15
8,14
85,22
118,69
2,3
53,24
32,12
39,19
51,26
155,17
17,14
76,41
6,10
3,0
1,13
42,23
116,12
94,72
4,12
41,16
32,14
293,18
20,30
36,22
100,27
13,36
32,7
38,11
121,25
38,16
14,7
6,1
233,39
12,17
56,43
92,29
329,8
8,22
9,20
53,18
12,14
14,6
6,25
120,73
11,20
9,15
19,25
96,17
21,4
57,33
28,10
0,0
0,2
280,68
187,36
62,28
6,6
27,13
26,8
29,36
11,19
10,15
57,18
19,22
83,25
7,6
7,65
7,16
18,4
353,48
12,9
1,15
33,19
8,28
15,11
40,10
1127,315
8,0
12,9
121,5
89,34
6,9
80,15
40,17
84,18
3,10
52,4
25,21
3,10
29,11
220,68
37,13
11,29
54,15
69,13
50,34
3,8
9,17
22,11
15,17
5,13
8,11
0,6
34,22
10,7
36,34
23,48
42,7
83,32
37,4
5,4
6,3
4,5
29,18
15,31
70,44
2,9
55,84
54,123
11,4
24,15
22,21
52,24
3,13
140,27
40,20
40,10
10,7
69,29
19,23
24,6
78,36
82,25
2,15
70,23
168,27
28,21
40,32
4,1
23,12
125,49
52,24
0,10
52,21
366,28
36,15
11,9
69,23
13,7
282,31
2,27
40,22
36,15
24,34
19,21
4,22
76,42
37,17
33,18
296,58
4,17
22,24
75,27
76,44
0,0
7,18
10,20
180,59
30,16
82,21
13,18
61,18
46,17
106,37
17,15
19,34
35,9
1,0
20,3
72,17
84,53
363,51
5,2
665,113
62,12
3,10
1,9
48,27
27,5
4,13
46,14
94,55
51,21
207,39
124,31
37,23
32,95
9,17
94,36
23,19
15,7
6,21
10,21
5,2
46,49
17,9
31,9
10,7
18,24
22,64
11,4
24,7
45,31
20,11
144,16
28,14
14,28
56,14
5,3
17,13
74,32
9,13
39,30
40,7
146,32
94,29
202,101
5,17
67,23
15,29
23,13
87,50
31,33
34,5
15,36
3,4
107,11
61,25
0,0
0,9
34,24
16,6
4,7
24,13
25,17
3,13
77,24
44,13
156,29
23,19
10,3
85,15
186,83
1,0
24,11
13,25
28,28
40,18
7,11
14,5
0,3
105,24
8,4
20,18
4,1
2,5
0,4
92,64
11,7
25,19
94,23
41,46
2,3
12,11
69,21
21,14
22,34
21,33
10,19
40,4
0,0
125,32
0,6
64,10
